상호명,상권업종중분류명,시도명,시군구명,행정동명,경도,위도
연인노래,주점,전북특별자치도,정읍시,수성동,126.852570145851,35.5676566815434
다온마루,섬유·의복·신발 소매,전북특별자치도,완주군,이서면,127.01055691692,35.8207445976357
봄아이안경원,안경·정밀기기 소매,전북특별자치도,전주시 덕진구,여의동,127.077692747389,35.8421338641268
어사진미,한식,전북특별자치도,무주군,설천면,127.756829294839,35.9095308082172
뱅뱅어패럴홈플러스주,섬유·의복·신발 소매,전북특별자치도,익산시,영등2동,126.97222051202,35.9589035264467
어라운드,비알코올 ,전북특별자치도,전주시 덕진구,인후2동,127.144266078841,35.84483022919
모아헤어클럽,이용·미용,전북특별자치도,정읍시,태인면,126.941474279464,35.651715033999
우리복권방,유원지·오락,전북특별자치도,군산시,신풍동,126.703011816201,35.9721479300926
늘봄가든,한식,전북특별자치도,임실군,임실읍,127.288473531819,35.6325379350387
본헤어,이용·미용,전북특별자치도,군산시,경암동,126.729921011144,35.9750954634393
아누,비알코올 ,전북특별자치도,무주군,무주읍,127.661102781162,36.0038230417838
쿨,주점,전북특별자치도,전주시 덕진구,인후1동,127.157454085467,35.8359002442238
씨유완주,종합 소매,전북특별자치도,완주군,봉동읍,127.124563950341,35.9587069129044
모래내약국,의약·화장품 소매,전북특별자치도,전주시 덕진구,인후2동,127.145772447712,35.833247257966
우리솔루션,컴퓨터 수리,전북특별자치도,전주시 완산구,효자5동,127.101456501351,35.832490717881
온누리장례식장,장례식장 ,전북특별자치도,순창군,순창읍,127.14372031785,35.3677499937062
커피앤쿠키,비알코올 ,전북특별자치도,익산시,여산면,127.083842999229,36.0585807696512
플러스산업,고용 알선,전북특별자치도,익산시,삼성동,126.989369241219,35.9593568905966
해성처럼,섬유·의복·신발 소매,전북특별자치도,남원시,죽항동,127.376850180275,35.4066084799073
다숲엔지니어링유,기술 서비스,전북특별자치도,군산시,나운1동,126.697088353291,35.9729352216601
알파무주점,오락용품 소매,전북특별자치도,무주군,무주읍,127.662247048897,36.0080253996396
호성전주병원,병원,전북특별자치도,전주시 덕진구,호성동,127.1479018987,35.8654555277218
한길전장,자동차 수리·세차,전북특별자치도,군산시,미성동,126.637292834666,35.9687048181493
온유한약국,의약·화장품 소매,전북특별자치도,전주시 완산구,효자5동,127.099625419004,35.8285447359035
동원순대,한식,전북특별자치도,완주군,삼례읍,127.079792756698,35.9163505637072
로로,섬유·의복·신발 소매,전북특별자치도,익산시,삼기면,126.997592880641,36.0126834647707
완전환경,청소·방제,전북특별자치도,전주시 덕진구,인후2동,127.151127309026,35.8439205401262
그때그할인마트,기타 생활용품 소매,전북특별자치도,진안군,진안읍,127.428884147232,35.7923744965176
명품드림,종합 소매,전북특별자치도,임실군,임실읍,127.28230270984,35.6138328261766
아다암스,비알코올 ,전북특별자치도,전주시 완산구,효자2동,127.116928814947,35.8097468814182
형제비석,기타 상품 소매,전북특별자치도,전주시 덕진구,덕진동,127.123576994617,35.851585667681
중앙사,시계·귀금속 소매,전북특별자치도,완주군,고산면,127.206824409727,35.9747795589625
에스와이에스리테일주,가전·통신 소매,전북특별자치도,전주시 완산구,서신동,127.12318981529,35.8302893611368
신백세건강원,식료품 소매,전북특별자치도,고창군,무장면,126.560512594895,35.4140219282416
벽창호쎄덱커튼인테리어,섬유·의복·신발 소매,전북특별자치도,전주시 완산구,서신동,127.1223829439,35.8309661293906
비케이모바일,가전·통신 소매,전북특별자치도,전주시 완산구,효자3동,127.113880314353,35.8056941282255
궁찻집,비알코올 ,전북특별자치도,정읍시,수성동,126.857072094065,35.5669320516167
배떡김제,기타 간이,전북특별자치도,김제시,신풍동,126.905459244558,35.7964098543569
옛날팥죽,한식,전북특별자치도,정읍시,수성동,126.856399337181,35.5668591483274
씨유나운대로점,종합 소매,전북특별자치도,군산시,나운1동,126.691503291298,35.9636563025778
중식당천지,중식,전북특별자치도,익산시,황등면,126.945211329363,35.99917952097
우리집,기타 간이,전북특별자치도,전주시 완산구,풍남동,127.145680495803,35.8132123719579
우성이엔씨유,기술 서비스,전북특별자치도,남원시,도통동,127.39110078999,35.4167570524584
명가국밥,한식,전북특별자치도,고창군,대산면,126.600661183382,35.3390453377286
전주친환경,식료품 소매,전북특별자치도,전주시 덕진구,우아2동,127.186537648792,35.8534240945732
푸른떡집,기타 간이,전북특별자치도,완주군,이서면,127.054999432676,35.8391902677
호텔마리,일반 숙박,전북특별자치도,군산시,경암동,126.725541808549,35.9782037966736
지유산업,광고,전북특별자치도,부안군,줄포면,126.701330295702,35.6045551607722
폼나는자유,장식품 소매,전북특별자치도,전주시 완산구,풍남동,127.143646345254,35.8142062068105
향토바지락죽,한식,전북특별자치도,부안군,변산면,126.471557532686,35.6285067187241
로얄타이어,자동차 수리·세차,전북특별자치도,완주군,삼례읍,127.061948486406,35.9077812259249
서울광고기획,광고,전북특별자치도,전주시 완산구,노송동,127.15586622909,35.8276197527097
진우건축사사무소,기술 서비스,전북특별자치도,임실군,임실읍,127.289797630471,35.6170506563702
전주다복한과,기타 간이,전북특별자치도,전주시 덕진구,인후2동,127.143049126051,35.8328720018301
스타패션,섬유·의복·신발 소매,전북특별자치도,부안군,변산면,126.473895965012,35.6203694016087
본참치송천,일식,전북특별자치도,전주시 덕진구,송천1동,127.126811714669,35.8599279167812
해빛전주역점,종합 소매,전북특별자치도,전주시 덕진구,우아1동,127.159384538261,35.849272343941
오가든,한식,전북특별자치도,익산시,영등2동,126.978971101234,35.9600044117691
소소블리,비알코올 ,전북특별자치도,정읍시,내장상동,126.872565164445,35.5633712692371
훼미리통닭,기타 간이,전북특별자치도,익산시,영등2동,126.976354933226,35.960094048824
연화상회,담배 소매,전북특별자치도,김제시,죽산면,126.811370457736,35.7549760159788
에쓰메딕,장식품 소매,전북특별자치도,전주시 완산구,노송동,127.1516629024,35.8229025325397
씨유태평아이파크,종합 소매,전북특별자치도,전주시 완산구,중앙동,127.134952503089,35.8226791151985
미소페,섬유·의복·신발 소매,전북특별자치도,김제시,용지면,126.993095115241,35.8176445251376
업소명없음,기타 간이,전북특별자치도,전주시 덕진구,우아1동,127.161851562356,35.8485029793139
판다팜함열점,종합 소매,전북특별자치도,익산시,함열읍,126.96672908329,36.074620217274
위니스잉글리쉬영어교습소,일반 교육,전북특별자치도,익산시,모현동,126.932829491852,35.9521196297691
루엔메디무용학원,기타 교육,전북특별자치도,군산시,나운2동,126.701752714544,35.9620239391142
전라고매점,종합 소매,전북특별자치도,전주시 덕진구,송천1동,127.126579688801,35.8602255753138
경원해물찜아구찜,한식,전북특별자치도,장수군,장수읍,127.520598760835,35.6463320625053
다함공인중개사사무소,부동산 서비스,전북특별자치도,전주시 완산구,효자1동,127.125079885609,35.8075756485835
풍천장어,한식,전북특별자치도,완주군,구이면,127.108256075998,35.7294430201411
온정식당,한식,전북특별자치도,전주시 완산구,삼천3동,127.087595466393,35.7579039776672
우리집식당,한식,전북특별자치도,익산시,여산면,127.105118093874,36.0487496595369
도움공인중개사사무소,부동산 서비스,전북특별자치도,전주시 완산구,효자4동,127.090550761355,35.8190706606839
이조떡방앗간,기타 간이,전북특별자치도,전주시 완산구,서신동,127.111517028296,35.8325629174649
가마꿉,기타 간이,전북특별자치도,전주시 덕진구,송천1동,127.130553819948,35.86666528592
준마트,종합 소매,전북특별자치도,전주시 덕진구,인후2동,127.145664242127,35.8345992759199
문성떡방앗간,기타 간이,전북특별자치도,김제시,요촌동,126.882618269623,35.8017342173253
리폼생각,기타 가정용품 수리,전북특별자치도,순창군,순창읍,127.145033932618,35.3762299117368
믿음카센타,자동차 수리·세차,전북특별자치도,익산시,팔봉동,127.026497616346,35.9709083202754
황태노가리,기타 간이,전북특별자치도,완주군,이서면,127.054114203086,35.839560185269
아리수,주점,전북특별자치도,전주시 덕진구,우아2동,127.168550464022,35.838832304774
장터,종합 소매,전북특별자치도,전주시 덕진구,혁신동,127.062381984902,35.8390064107707
원평마을금고주유소,연료 소매,전북특별자치도,김제시,금산면,126.991434616203,35.7207580561935
안경매니져,안경·정밀기기 소매,전북특별자치도,정읍시,수성동,126.854949203646,35.5819180813275
중앙웰빙팥죽,한식,전북특별자치도,전주시 완산구,노송동,127.143346068052,35.8256705920707
영에스테틱,이용·미용,전북특별자치도,전주시 완산구,노송동,127.143027578348,35.8270318725849
운주상회,종합 소매,전북특별자치도,완주군,운주면,127.27862976811,36.0923343487862
솜리뼈다구탕전주점,한식,전북특별자치도,전주시 완산구,중화산1동,127.124794268516,35.8159576765595
노고단종합식품,식료품 소매,전북특별자치도,남원시,노암동,127.383097530154,35.3891032687044
오비뇨기과의원,의원,전북특별자치도,남원시,죽항동,127.387772214544,35.4091426603087
매운양푼왕갈비,한식,전북특별자치도,남원시,금동,127.371494120345,35.4005682214325
광천수낚시터,유원지·오락,전북특별자치도,익산시,춘포면,127.057593767686,35.9216265393337
오헤브데이,일반 숙박,전북특별자치도,남원시,운봉읍,127.547405966052,35.4334368018869
렛츠스터디카페,도서관·사적지,전북특별자치도,전주시 덕진구,호성동,127.151581862907,35.8617467900228
창의플러스,오락용품 소매,전북특별자치도,전주시 완산구,삼천3동,127.112648773188,35.7954118750782
연우떡방아,기타 간이,전북특별자치도,완주군,삼례읍,127.072741458339,35.9110016380266
친절한세탁소,세탁,전북특별자치도,남원시,금동,127.376011124,35.4060973444137
배드민턴요넥스,오락용품 소매,전북특별자치도,김제시,신풍동,126.893099735951,35.7983642560261
곶감펜션가든,일반 숙박,전북특별자치도,완주군,동상면,127.324630523461,35.994408855559
새로나약국,의약·화장품 소매,전북특별자치도,전주시 완산구,효자2동,127.117498999683,35.8062404160779
부귀산장션/숲속캠핑장,일반 숙박,전북특별자치도,진안군,부귀면,127.429938844281,35.8525924166694
박서방떡방앗간,기타 간이,전북특별자치도,정읍시,칠보면,126.989923969436,35.605078082136
이성아헤어샵,이용·미용,전북특별자치도,정읍시,내장상동,126.873358774684,35.5567295308025
해금강여관,일반 숙박,전북특별자치도,군산시,소룡동,126.676819365368,35.9733690093502
정산건강식품,식료품 소매,전북특별자치도,김제시,금산면,126.995544775827,35.7427493668253
현민건축사사무소,기술 서비스,전북특별자치도,전주시 완산구,중화산2동,127.12170579532,35.8151316831201
문화회관,한식,전북특별자치도,전주시 완산구,풍남동,127.148333347377,35.8176974055379
봉림1,연료 소매,전북특별자치도,완주군,고산면,127.221242332769,35.9882453214989
잎새달,서양식,전북특별자치도,익산시,여산면,127.078589538247,36.0549974533698
